agency_cd,site_no,datetime,293221_00060_00003,293221_00060_00003_cd
USGS,1589000,6/12/2015,117,A
USGS,1589000,6/13/2015,102,A
USGS,1589000,6/14/2015,110,A
USGS,1589000,6/15/2015,124,A
USGS,1589000,6/16/2015,154,A
USGS,1589000,6/17/2015,107,A
USGS,1589000,6/18/2015,187,A
USGS,1589000,6/19/2015,142,A
USGS,1589000,6/20/2015,146,A
USGS,1589000,6/21/2015,337,A
USGS,1589000,6/22/2015,212,A
USGS,1589000,6/23/2015,236,A
USGS,1589000,6/24/2015,431,A
USGS,1589000,6/25/2015,237,A
USGS,1589000,6/26/2015,288,A
USGS,1589000,6/27/2015,1880,A
USGS,1589000,6/28/2015,1510,A
USGS,1589000,6/29/2015,642,A
USGS,1589000,6/30/2015,397,A
USGS,1589000,7/1/2015,345,A
USGS,1589000,7/2/2015,286,A
USGS,1589000,7/3/2015,243,A
USGS,1589000,7/4/2015,218,A
USGS,1589000,7/5/2015,202,A
USGS,1589000,7/6/2015,258,A
USGS,1589000,7/7/2015,421,A
USGS,1589000,7/8/2015,279,A
USGS,1589000,7/9/2015,224,A
USGS,1589000,7/10/2015,207,A
USGS,1589000,7/11/2015,169,A
USGS,1589000,7/12/2015,137,A
USGS,1589000,7/13/2015,121,A
USGS,1589000,7/14/2015,115,A
USGS,1589000,7/15/2015,117,A
USGS,1589000,7/16/2015,114,A
USGS,1589000,7/17/2015,100,A
USGS,1589000,7/18/2015,106,A
USGS,1589000,7/19/2015,107,A
USGS,1589000,7/20/2015,101,A
USGS,1589000,7/21/2015,95.1,A
USGS,1589000,7/22/2015,89.2,A
USGS,1589000,7/23/2015,74.2,A
USGS,1589000,7/24/2015,68.8,A
USGS,1589000,7/25/2015,66.7,A
USGS,1589000,7/26/2015,65.6,A
USGS,1589000,7/27/2015,85.9,A
USGS,1589000,7/28/2015,73.1,A
USGS,1589000,7/29/2015,77.6,A
USGS,1589000,7/30/2015,90.9,A
USGS,1589000,7/31/2015,90.5,A
USGS,1589000,8/1/2015,67,A
